Grambank ID,Relevant units,Function,Form,Feature,Possible Values
GB083,verb,"TAM, tense",conjugation,Is there overt morphological marking on the verb dedicated to past tense?,"1: present, 0: absent"
GB084,verb,"TAM, tense",conjugation,Is there overt morphological marking on the verb dedicated to future tense?,"1: present, 0: absent"
GB086,verb,"TAM, aspect",conjugation,Is a morphological distinction between perfective and imperfective aspect available on verbs?,"1: present, 0: absent"
GB089,"verb, index","argument marking, core arguments, person, number, gender","conjugation, indexing, suffixation",Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?,"1: present, 0: absent"
GB090,"verb, index","argument marking, core arguments, person, number, gender","conjugation, indexing, prefixation",Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?,"1: present, 0: absent"
GB091,"verb, index","argument marking, core arguments, person, number, gender","conjugation, indexing, suffixation",Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?,"1: present, 0: absent"
GB092,"verb, index","argument marking, core arguments, person, number, gender","conjugation, indexing, prefixation",Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?,"1: present, 0: absent"
GB093,"verb, index","argument marking, core arguments, person, number, gender","conjugation, indexing, suffixation",Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?,"1: present, 0: absent"
GB094,"verb, index","argument marking, core arguments, person, number, gender","conjugation, indexing, prefixation",Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?,"1: present, 0: absent"
GB095,"verb, index","argument marking, core arguments, TAM, tense, aspect, mood, modality, person, number, gender","flagging, indexing",Are variations in marking strategies of core participants based on TAM distinctions?,"1: present, 0: absent"
GB096,"verb, index","argument marking, core arguments, verb classification, person, number, gender","flagging, indexing",Are variations in marking strategies of core participants based on verb classes?,"1: present, 0: absent"
GB098,"verb, index, pronoun","argument marking, core arguments, person, person, number, gender","flagging, indexing",Are variations in marking strategies of core participants based on person distinctions?,"1: present, 0: absent"
GB099,verb,"person, argument marking, core arguments","suppletion, ablaut, conjugation",Can verb stems alter according to the person of a core participant?,"1: present, 0: absent"
GB103,"verb, index","argument marking, oblique, valency change, applicative, benefactive, derivation, valency increase","derivational morphology, conjugation",Is there a benefactive applicative marker on the verb (including indexing)?,"1: present, 0: absent"
GB104,"verb, index","argument marking, oblique, valency change, applicative, instrumental, derivation, valency increase","derivational morphology, conjugation",Is there an instrumental applicative marker on the verb (including indexing)?,"1: present, 0: absent"
GB105,"noun, NP, verb, index, case marker","argument marking, core, oblique, verb classification, derivation","special construction, flagging, indexing, conjugation",Can the recipient in a ditransitive construction be marked like the monotransitive patient?,"1: present, 0: absent"
GB107,verb,"TAM, negation",conjugation,"Can standard negation be marked by an affix, clitic or modification of the verb?","1: present, 0: absent"
GB108,verb,"argument marking, oblique, applicative, valency change, derivation, valency increase","derivational morphology, conjugation",Is there directional or locative morphological marking on verbs?,"1: present, 0: absent"
GB109,verb,"number, argument marking, core arguments","suppletion, conjugation",Is there verb suppletion for participant number?,"1: present, 0: absent"
GB110,verb,"TAM, tense, aspect","suppletion, conjugation",Is there verb suppletion for tense or aspect?,"1: present, 0: absent"
GB111,"verb, index","TAM, tense, aspect, mood, modality, negation, verb classification, argument marking, core, oblique",conjugation,Are there conjugation classes?,"1: present, 0: absent"
GB113,"verb, index","valency change, derivation, valency increase, causative, applicative","derivational morphology, affixation",Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?,"1: present, 0: absent"
GB114,"verb, index","reflexive, valency change, derivation, valency decrease","derivational morphology, indexing",Is there a phonologically bound reflexive marker on the verb?,"1: present, 0: absent"
GB115,"verb, index","reflexive, reciprocal, valency change, derivation, valency decrease","derivational morphology, indexing",Is there a phonologically bound reciprocal marker on the verb?,"1: present, 0: absent"
GB116,"verb, index",nominal classification,"incorporation, compounding, suppletion, affixation, conjugation","Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?","1: present, 0: absent"
GB117,"verb, copula, clause, noun, auxiliary","predication, verb classification","particle, auxiliary, absence vs. presence",Is there a copula for predicate nominals?,"1: present, 0: absent"
GB118,verb,predication,special construction,Are there serial verb constructions?,"1: present, 0: absent"
GB119,auxiliary,"TAM, mood, modality",auxiliary,"Can mood be marked by an inflecting word (""auxiliary verb"")?","1: present, 0: absent"
GB120,auxiliary,"TAM, aspect",auxiliary,"Can aspect be marked by an inflecting word (""auxiliary verb"")?","1: present, 0: absent"
GB121,auxiliary,"TAM, tense",auxiliary,"Can tense be marked by an inflecting word (""auxiliary verb"")?","1: present, 0: absent"
GB122,verb,"predication, derivation",compounding,Is verb compounding a regular process?,"1: present, 0: absent"
GB123,"verb, noun","predication, derivation",special construction,Are there verb-adjunct (aka light-verb) constructions?,"1: present, 0: absent"
GB124,"verb, noun","valency change, valency decrease, derivation","incorporation, compounding",Is incorporation of nouns into verbs a productive intransitivizing process?,"1: present, 0: absent"
GB126,"verb, copula, auxiliary","verb classification, predication","particle, auxiliary, absence vs. presence",Is there an existential verb?,"1: present, 0: absent"
GB127,verb,"verb classification, nominal classification, predication","suppletion, conjugation",Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. 'to lie' vs. 'to stand')?,"1: present, 0: absent"
GB129,verb,verb classification,inventory,"Is there a notably small number, i.e. about 100 or less, of verb roots in the language?","1: present, 0: absent"
GB130,clause,predication,word order,What is the pragmatically unmarked order of S and V in intransitive clauses?,multistate 1: SV; 2: VS; 3: both
GB131,clause,predication,word order,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?,"1: present, 0: absent"
GB132,clause,predication,word order,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?,"1: present, 0: absent"
GB133,clause,predication,word order,Is a pragmatically unmarked constituent order verb-final for transitive clauses?,"1: present, 0: absent"
GB134,clause,"predication, subordination",word order,Is the order of constituents the same in main and subordinate clauses?,"1: present, 0: absent"
GB135,clause,"predication, subordination",word order,Do clausal objects usually occur in the same position as nominal objects?,"1: present, 0: absent"
GB136,clause,predication,word order,Is the order of core argument (i.e. S/A/P) constituents fixed?,"1: present, 0: absent"
GB137,"particle, clause, verb","TAM, negation","conjugation, word order, particle",Can standard negation be marked clause-finally?,"1: present, 0: absent"
GB138,"particle, clause, verb","TAM, negation","conjugation, word order, particle",Can standard negation be marked clause-initially?,"1: present, 0: absent"
GB139,"particle, clause, verb","TAM, mood, imperative, prohibition, negation","conjugation, word order, particle",Is there a difference between imperative (prohibitive) and declarative negation constructions?,"1: present, 0: absent"
GB140,"particle, clause, verb, copula","predication, negation, verb classification","particle, conjugation","Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?","1: present, 0: absent"
GB146,"clause, verb, adjective, noun, case marker, NP","control, argument marking, core, oblique, verb classification","special construction, flagging, indexing, conjugation, declension",Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?,"1: present, 0: absent"
GB147,verb,"valency change, passive, derivation, valency decrease",derivational morphology,Is there a morphological passive marked on the lexical verb?,"1: present, 0: absent"
GB148,verb,"valency change, antipassive, derivation, valency decrease",derivational morphology,Is there a morphological antipassive marked on the lexical verb?,"1: present, 0: absent"
GB149,"verb, index","argument marking, core",,Is there a morphologically marked inverse on verbs?,"1: present, 0: absent"
GB150,"verb, clause",predication,special construction,Is there clause chaining?,"1: present, 0: absent"
GB151,"verb, clause, index","deixis, argument marking, core","conjugation, indexing","Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (""switch reference"")?","1: present, 0: absent"
GB152,"verb, clause","TAM, sequentiality, simultaneity",conjugation,Is there a morphologically marked distinction between simultaneous and sequential clauses?,"1: present, 0: absent"
GB155,verb,"causative, valency change, derivation, valency increase","affixation, derivational morphology",Are causatives formed by affixes or clitics on verbs?,"1: present, 0: absent"
GB156,"verb, auxiliary, particle","causative, valency change, derivation, valency increase","special construction, derivational morphology",Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?,"1: present, 0: absent"
GB158,verb,derivation,reduplication,Are verbs reduplicated?,"1: present, 0: absent"
GB159,noun,derivation,reduplication,Are nouns reduplicated?,"1: present, 0: absent"
GB160,"adjective, ideophone, adverb",derivation,reduplication,Are elements apart from verbs or nouns reduplicated?,"1: present, 0: absent"
GB165,noun,number,declension,Is there productive morphological trial marking on nouns?,"1: present, 0: absent"
GB166,noun,number,declension,Is there productive morphological paucal marking on nouns?,"1: present, 0: absent"
GB167,pronoun,"logophoricity, deixis, argument marking, core","declension, paradigm",Is there a logophoric pronoun?,"1: present, 0: absent"
GB170,"adjective, NP","gender, attribution","agreement, declension",Can an adnominal property word agree with the noun in gender/noun class?,"1: present, 0: absent"
GB171,"demonstrative, NP","gender, attribution, deixis","agreement, declension",Can an adnominal demonstrative agree with the noun in gender/noun class?,"1: present, 0: absent"
GB172,"article, NP, demonstrative","gender, deixis, definiteness","agreement, declension",Can an article agree with the noun in gender/noun class?,"1: present, 0: absent"
GB177,"verb, index","nominal classification, predication","agreement, conjugation","Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument visible in the NP domain?","1: present, 0: absent"
GB184,"adjective, NP","number, attribution","agreement, declension",Can an adnominal property word agree with the noun in number?,"1: present, 0: absent"
GB185,"demonstrative, NP","number, attribution, deixis","agreement, declension",Can an adnominal demonstrative agree with the noun in number?,"1: present, 0: absent"
GB186,"article, NP, demonstrative","number, deixis, definiteness","agreement, declension",Can an article agree with the noun in number?,"1: present, 0: absent"
GB187,noun,"nominalization, diminutive, derivation",derivational morphology,Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?,"1: present, 0: absent"
GB188,noun,"nominalization, augmentative, derivation",derivational morphology,Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?,"1: present, 0: absent"
GB192,noun,gender,declension,Is there a gender system where a noun's phonological properties are a factor in class assignment?,"1: present, 0: absent"
GB193,"adjective, NP",attribution,word order,What is the order of adnominal property word and noun?,multistate 1: ANM - N; 2: N - ANM; 3: both; 0: they cannot be used attributively
GB196,pronoun,gender,"declension, paradigm",Is there a male/female distinction in 2nd person independent pronouns?,"1: present, 0: absent"
GB197,pronoun,gender,"declension, paradigm",Is there a male/female distinction in 1st person independent pronouns?,"1: present, 0: absent"
GB198,"numeral, NP","quantification, attribution, gender","agreement, declension",Can an adnominal numeral agree with the noun in gender/noun class?,"1: present, 0: absent"
GB203,"quantifier, NP","quantification, attribution",word order,What is the order of the adnominal collective universal quantifier ('all') and the noun?,"0: no UQ, 1: UQ-N, 2: N-UQ, 3: both"
GB204,"quantifier, NP","quantification, attribution","word order, declension, paradigm",Do collective ('all') and distributive ('every') universal quantifiers differ in their forms or their syntactic positions?,"1: present, 0: absent"
GB250,"verb, clause","verb classification, predicative possession, predication",auxiliary,Can predicative possession be expressed with a transitive 'habeo' verb?,"1: present, 0: absent"
GB252,"verb, clause, NP, case marker, adposition, index","predication, predicative possession, argument marking, oblique, locative","flagging, indexing",Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?,"1: present, 0: absent"
GB253,"verb, clause, NP, case marker, adposition, index","predication, predicative possession, argument marking, oblique, dative","flagging, indexing",Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?,"1: present, 0: absent"
GB254,"verb, clause, NP, case marker, adposition, index","predication, predicative possession, argument marking, oblique, genitive","flagging, indexing",Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?,"1: present, 0: absent"
GB256,"verb, clause, NP, case marker, adposition, index","predication, predicative possession, argument marking, oblique, comitative","flagging, indexing",Can predicative possession be expressed with an S-like possessor and a possessum that is coded like a comitative argument?,"1: present, 0: absent"
GB257,"verb, clause, sentence","mood, interrogation",intonation,Can polar interrogation be marked by intonation only?,"1: present, 0: absent"
GB260,"verb, clause, sentence","mood, interrogation",word order,Can polar interrogation be indicated by a special word order?,"1: present, 0: absent"
GB262,"verb, clause, particle","mood, interrogation","particle, word order",Is there a clause-initial polar interrogative particle?,"1: present, 0: absent"
GB263,"verb, clause, particle","mood, interrogation","particle, word order",Is there a clause-final polar interrogative particle?,"1: present, 0: absent"
GB264,"verb, clause, particle","mood, interrogation","particle, word order",Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?,"1: present, 0: absent"
GB265,"verb, auxiliary, particle, clause, adjective","comparison, predication","auxiliary, particle","Is there a comparative construction that includes a form that elsewhere means 'surpass, exceed'?","1: present, 0: absent"
GB266,"verb, particle, clause, adjective, adposition","comparison, predication, argument marking, oblique, locative","flagging, indexing",Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?,"1: present, 0: absent"
GB270,"verb, clause, adjective, sentence","comparison, predication",special construction,Can comparatives be expressed using two conjoined clauses?,"1: present, 0: absent"
GB273,"verb, auxiliary, particle, clause, adjective, adposition","comparison, predication","flagging, indexing",Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning?,"1: present, 0: absent"
GB275,"adjective, clause","comparison, predication","declension, conjugation, special construction",Is there a bound comparative degree marker on the property word in a comparative construction?,"1: present, 0: absent"
GB276,"adjective, clause, particle","comparison, predication","particle, special construction",Is there a non-bound comparative degree marker modifying the property word in a comparative construction?,"1: present, 0: absent"
GB285,"verb, clause, particle","mood, interrogation","particle, conjugation",Can polar interrogation be marked by a question particle and verbal morphology?,"1: present, 0: absent"
GB286,verb,"mood, interrogation",conjugation,Can polar interrogation be indicated by overt verbal morphology only?,"1: present, 0: absent"
GB291,"verb, clause, sentence","mood, interrogation",tone,Can polar interrogation be marked by tone?,"1: present, 0: absent"
GB296,ideophone,iconicity,"declension, conjugation, word order",Is there a phonologically or morphosyntactically definable class of ideophones that includes ideophones depicting imagery beyond sound?,"1: present, 0: absent"
GB297,"clause, verb, negator","TAM, mood, interrogation, negation","particle, conjugation, word order",Can polar interrogation be indicated by a V-not-V construction?,"1: present, 0: absent"
GB298,"auxiliary, negator","TAM, negation",auxiliary,"Can standard negation be marked by an inflecting word (""auxiliary verb"")?","1: present, 0: absent"
GB299,"particle, negator","TAM, negation",particle,"Can standard negation be marked by a non-inflecting word (""auxiliary particle"")?","1: present, 0: absent"
GB300,"verb, index","verb classification, TAM, tense, aspect, mood, modality, negation, argument marking, core arguments, oblique","suppletion, conjugation",Does the verb for 'give' have suppletive verb forms?,"1: present, 0: absent"
GB301,"NP, noun, pronoun","clusivity, deixis, person, number, coordination","declension, special construction",Is there an inclusory construction?,"1: present, 0: absent"
GB302,"particle, auxiliary","passive, valency change, derivation, valency decrease","particle, auxiliary",Is there a phonologically free passive marker ('particle' or 'auxiliary')?,"1: present, 0: absent"
GB303,"particle, auxiliary","antipassive, valency change, derivation, valency decrease","particle, auxiliary",Is there a phonologically free antipassive marker ('particle' or 'auxiliary')?,"1: present, 0: absent"
GB304,clause,"passive, valency change, derivation, valency decrease",absence vs. presence,Can the agent be expressed overtly in a passive clause?,"1: present, 0: absent"
GB305,pronoun,"valency change, reflexive",paradigm,Is there a phonologically independent reflexive pronoun?,"1: present, 0: absent"
GB306,pronoun,"valency change, reflexive, reciprocal",paradigm,Is there a phonologically independent non-bipartite reciprocal pronoun?,"1: present, 0: absent"
GB309,"verb, auxiliary, particle","TAM, tense","conjugation, special construction","Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?","1: present, 0: absent"
GB312,verb,"TAM, mood, modality",conjugation,Is there overt morphological marking on the verb dedicated to mood?,"1: present, 0: absent"
GB313,pronoun,"attributive possession, attribution, genitive","declension, flagging, paradigm",Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?,"1: present, 0: absent"
GB314,noun,"gender, derivation, nominalization, augmentative","declension, derivational morphology",Can augmentative meaning be expressed productively by a shift of gender/noun class?,"1: present, 0: absent"
GB315,noun,"gender, derivation, nominalization, diminutive","declension, derivational morphology",Can diminutive meaning be expressed productively by a shift of gender/noun class?,"1: present, 0: absent"
GB316,NP,number,particle,Is singular number regularly marked in the noun phrase by a dedicated phonologically free element?,"1: present, 0: absent"
GB317,NP,number,particle,Is dual number regularly marked in the noun phrase by a dedicated phonologically free element?,"1: present, 0: absent"
GB318,NP,number,particle,Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?,"1: present, 0: absent"
GB319,NP,number,particle,Is trial number regularly marked in the noun phrase by a dedicated phonologically free element?,"1: present, 0: absent"
GB320,NP,number,particle,Is paucal number regularly marked in the noun phrase by a dedicated phonologically free element?,"1: present, 0: absent"
GB321,noun,gender,declension,Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?,"1: present, 0: absent"
GB322,"verb, auxiliary, particle","TAM, evidentiality","conjugation, particle",Is there grammatical marking of direct evidence (perceived with the senses)?,"1: present, 0: absent"
GB323,"verb, auxiliary, particle","TAM, evidentiality","conjugation, particle","Is there grammatical marking of indirect evidence (hearsay, inference, etc.)?","1: present, 0: absent"
GB324,"verb, interrogative","mood, interrogation","conjugation, paradigm","Is there an interrogative verb for content interrogatives (who?, what?, etc.)?","1: present, 0: absent"
GB325,interrogative,"mood, interrogation, quantification","paradigm, declension",Is there a count/mass distinction in interrogative quantifiers?,"1: present, 0: absent"
GB326,"interrogative, clause","mood, interrogation",word order,Do (nominal) content interrogatives normally or frequently occur in situ?,"1: present, 0: absent"
GB327,"clause, NP",relativization,word order,Can the relative clause follow the noun?,"1: present, 0: absent"
GB328,"clause, NP",relativization,word order,Can the relative clause precede the noun?,"1: present, 0: absent"
GB329,"clause, NP",relativization,word order,Are there internally-headed relative clauses?,"1: present, 0: absent"
GB330,"clause, NP",relativization,word order,Are there correlative relative clauses?,"1: present, 0: absent"
GB331,"clause, NP",relativization,word order,Are there adjoined relative clauses?,"1: present, 0: absent"
GB333,numeral,quantification,paradigm,Is there a decimal numeral system?,"1: present, 0: absent"
GB334,numeral,quantification,paradigm,Is there synchronic evidence for any element of a quinary numeral system?,"1: present, 0: absent"
GB335,numeral,quantification,paradigm,Is there synchronic evidence for any element of a vigesimal numeral system?,"1: present, 0: absent"
GB336,numeral,quantification,paradigm,Is there a body-part tallying system?,"1: present, 0: absent"
GB400,"verb, pronoun, particle, auxiliary, index","person, valency change, TAM, passive, antipassive, tense, aspect, mood, modality, negation, argument marking, core arguments","conjugation, paradigm, indexing","Are all person categories neutralized in some voice, tense, aspect, mood and/or negation?","1: present, 0: absent"
GB401,verb,"valency change, verb classification",none,Is there a class of patient-labile verbs?,"1: present, 0: absent"
GB402,verb,"verb classification, TAM, tense, aspect, mood, modality, negation, argument marking, core arguments, oblique","suppletion, conjugation",Does the verb for 'see' have suppletive verb forms?,"1: present, 0: absent"
GB403,verb,"verb classification, TAM, tense, aspect, mood, modality, negation, argument marking, core arguments, oblique","suppletion, conjugation",Does the verb for 'come' have suppletive verb forms?,"1: present, 0: absent"
GB408,"noun, NP, case marker, adposition","argument marking, core arguments","flagging, declension",Is there any accusative alignment of flagging?,"1: present, 0: absent"
GB409,"noun, NP, case marker, adposition","argument marking, core arguments","flagging, declension",Is there any ergative alignment of flagging?,"1: present, 0: absent"
GB410,"noun, NP, case marker, adposition","argument marking, core arguments","flagging, declension",Is there any neutral alignment of flagging?,"1: present, 0: absent"
GB415,"pronoun, index, verb","politeness, person","paradigm, declension",Is there a politeness distinction in 2nd person forms?,"1: present, 0: absent"
GB421,"verb, index, complementizer, particle, clause",subordination,word order,Is there a preposed complementizer in complements of verbs of thinking and/or knowing?,"1: present, 0: absent"
GB422,"verb, index, complementizer, particle, clause",subordination,word order,Is there a postposed complementizer in complements of verbs of thinking and/or knowing?,"1: present, 0: absent"
GB430,"noun, NP, case marker, index","attributive possession, attribution, genitive","word order, flagging, prefixation",Can adnominal possession be marked by a prefix on the possessor?,"1: present, 0: absent"
GB431,"noun, NP, case marker, index","attributive possession, attribution, genitive","word order, flagging, prefixation",Can adnominal possession be marked by a prefix on the possessed noun?,"1: present, 0: absent"
GB432,"noun, NP, case marker, index","attributive possession, attribution, genitive","word order, flagging, suffixation",Can adnominal possession be marked by a suffix on the possessor?,"1: present, 0: absent"
GB433,"noun, NP, case marker, index","attributive possession, attribution, genitive","word order, flagging, suffixation",Can adnominal possession be marked by a suffix on the possessed noun?,"1: present, 0: absent"
GB519,particle,"TAM, mood, modality",particle,"Can mood be marked by a non-inflecting word (""auxiliary particle"")?","1: present, 0: absent"
GB520,particle,"TAM, aspect",particle,"Can aspect be marked by a non-inflecting word (""auxiliary particle"")?","1: present, 0: absent"
GB521,particle,"TAM, tense",particle,"Can tense be marked by a non-inflecting word (""auxiliary particle"")?","1: present, 0: absent"
GB522,"pronoun, NP, clause",predication,presence vs. absence,"Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context (""pro-drop"" or ""null anaphora"")?","1: present, 0: absent"
