Feature_ID,ENumLab,ELab,Eri's Categories,Relevant units,Function,Form,Feature,Possible Values
GB172,4,Noun Class1,4Noun Class1,"article, NP, demonstrative","gender, deixis, definiteness","agreement, declension",Can an article agree with the noun in gender/noun class?,"1: present, 0: absent"
GB051,4,Noun Class2,4Noun Class2,noun,gender,declension,Is there a noun class/gender system where sex is a factor in class assignment?,"1: present, 0: absent"
GB052,4,Noun Class3,4Noun Class3,noun,gender,declension,Is there a noun class/gender system where shape is a factor in class assignment?,"1: present, 0: absent"
GB053,4,Noun Class4,4Noun Class4,noun,gender,declension,Is there a noun class/gender system where animacy is a factor in class assignment?,"1: present, 0: absent"
GB054,4,Noun Class5,4Noun Class5,noun,gender,declension,Is there a noun class/gender system where plant status is a factor in class assignment?,"1: present, 0: absent"
GB171,4,Noun Class6,4Noun Class6,"demonstrative, NP","gender, attribution, deixis","agreement, declension",Can an adnominal demonstrative agree with the noun in gender/noun class?,"1: present, 0: absent"
GB314,4,Noun Class7,4Noun Class7,noun,"gender, derivation, nominalization, augmentative","declension, derivational morphology",Can augmentative meaning be expressed productively by a shift of gender/noun class?,"1: present, 0: absent"
GB315,4,Noun Class8,4Noun Class8,noun,"gender, derivation, nominalization, diminutive","declension, derivational morphology",Can diminutive meaning be expressed productively by a shift of gender/noun class?,"1: present, 0: absent"
GB192,4,Noun Class9,4Noun Class9,noun,gender,declension,Is there a gender system where a noun's phonological properties are a factor in class assignment?,"1: present, 0: absent"
GB321,4,Noun Class10,4Noun Class10,noun,gender,declension,Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?,"1: present, 0: absent"
GB198,4,Noun Class11,4Noun Class11,"numeral, NP","quantification, attribution, gender","agreement, declension",Can an adnominal numeral agree with the noun in gender/noun class?,"1: present, 0: absent"
GB057,5,QUANT1,5QUANT1,"numeral, classifier, NP","nominal classification, quantification, attribution","declension, paradigm, special construction, particle",Are there numeral classifiers?,"1: present, 0: absent"
GB203,5,QUANT2,5QUANT2,"quantifier, NP","quantification, attribution",word order,What is the order of the adnominal collective universal quantifier ('all') and the noun?,"0: no UQ, 1: UQ-N, 2: N-UQ, 3: both"
GB204,5,QUANT3,5QUANT3,"quantifier, NP","quantification, attribution","word order, declension, paradigm",Do collective ('all') and distributive ('every') universal quantifiers differ in their forms or their syntactic positions?,"1: present, 0: absent"
GB333,5,QUANT4,5QUANT4,numeral,quantification,paradigm,Is there a decimal numeral system?,"1: present, 0: absent"
GB334,5,QUANT5,5QUANT5,numeral,quantification,paradigm,Is there synchronic evidence for any element of a quinary numeral system?,"1: present, 0: absent"
GB335,5,QUANT6,5QUANT6,numeral,quantification,paradigm,Is there synchronic evidence for any element of a vigesimal numeral system?,"1: present, 0: absent"
GB336,5,QUANT7,5QUANT7,numeral,quantification,paradigm,Is there a body-part tallying system?,"1: present, 0: absent"
GB028,6,PRO1,6PRO1,"pronoun, index, verb","clusivity, deixis, person, number","declension, paradigm, indexing",Is there an inclusive/exclusive distinction?,"1: present, 0: absent"
GB415,6,PRO2,6PRO2,"pronoun, index, verb","politeness, person","paradigm, declension",Is there a politeness distinction in 2nd person forms?,"1: present, 0: absent"
GB030,6,PRO3,6PRO3,pronoun,"person, number, gender","declension, paradigm",Is there a gender distinction in independent 3rd person pronouns?,"1: present, 0: absent"
GB031,6,PRO4,6PRO4,pronoun,"person, number","declension, paradigm",Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?,"1: present, 0: absent"
GB071,6,PRO5,6PRO5,"pronoun, case marker","argument marking, core arguments","declension, flagging",Are there morphological cases for pronominal core arguments (i.e. S/A/P)?,"1: present, 0: absent"
GB073,6,PRO6,6PRO6,"pronoun, case marker","argument marking, oblique","declension, flagging",Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?,"1: present, 0: absent"
GB167,6,PRO7,6PRO7,pronoun,"logophoricity, deixis, argument marking, core","declension, paradigm",Is there a logophoric pronoun?,"1: present, 0: absent"
GB305,6,PRO8,6PRO8,pronoun,"valency change, reflexive",paradigm,Is there a phonologically independent reflexive pronoun?,"1: present, 0: absent"
GB306,6,PRO9,6PRO9,pronoun,"valency change, reflexive, reciprocal",paradigm,Is there a phonologically independent non-bipartite reciprocal pronoun?,"1: present, 0: absent"
GB196,6,PRO10,6PRO10,pronoun,gender,"declension, paradigm",Is there a male/female distinction in 2nd person independent pronouns?,"1: present, 0: absent"
GB197,6,PRO11,6PRO11,pronoun,gender,"declension, paradigm",Is there a male/female distinction in 1st person independent pronouns?,"1: present, 0: absent"
GB522,6,PRO12,6PRO12,"pronoun, NP, clause",predication,presence vs. absence,"Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context (""pro-drop"" or ""null anaphora"")?","1: present, 0: absent"
GB430,7,POSS1,7POSS1,"noun, NP, case marker, index","attributive possession, attribution, genitive","word order, flagging, prefixation",Can adnominal possession be marked by a prefix on the possessor?,"1: present, 0: absent"
GB431,7,POSS2,7POSS2,"noun, NP, case marker, index","attributive possession, attribution, genitive","word order, flagging, prefixation",Can adnominal possession be marked by a prefix on the possessed noun?,"1: present, 0: absent"
GB432,7,POSS3,7POSS3,"noun, NP, case marker, index","attributive possession, attribution, genitive","word order, flagging, suffixation",Can adnominal possession be marked by a suffix on the possessor?,"1: present, 0: absent"
GB433,7,POSS4,7POSS4,"noun, NP, case marker, index","attributive possession, attribution, genitive","word order, flagging, suffixation",Can adnominal possession be marked by a suffix on the possessed noun?,"1: present, 0: absent"
GB058,7,POSS5,7POSS5,"noun, classifier, NP","attributive possession, attribution, nominal classification","declension, paradigm, special construction, particle",Are there possessive classifiers?,"1: present, 0: absent"
GB059,7,POSS6,7POSS6,"noun, NP","attributive possession, attribution, alienability","declension, special construction, particle",Is the adnominal possessive construction different for alienable and inalienable nouns?,"1: present, 0: absent"
GB313,7,POSS7,7POSS7,pronoun,"attributive possession, attribution, genitive","declension, flagging, paradigm",Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?,"1: present, 0: absent"
GB250,8,AD POSS1,8AD POSS1,"verb, clause","verb classification, predicative possession, predication",auxiliary,Can predicative possession be expressed with a transitive 'habeo' verb?,"1: present, 0: absent"
GB252,8,AD POSS2,8AD POSS2,"verb, clause, NP, case marker, adposition, index","predication, predicative possession, argument marking, oblique, locative","flagging, indexing",Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?,"1: present, 0: absent"
GB253,8,AD POSS3,8AD POSS3,"verb, clause, NP, case marker, adposition, index","predication, predicative possession, argument marking, oblique, dative","flagging, indexing",Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?,"1: present, 0: absent"
GB254,8,AD POSS4,8AD POSS4,"verb, clause, NP, case marker, adposition, index","predication, predicative possession, argument marking, oblique, genitive","flagging, indexing",Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?,"1: present, 0: absent"
GB256,8,AD POSS5,8AD POSS5,"verb, clause, NP, case marker, adposition, index","predication, predicative possession, argument marking, oblique, comitative","flagging, indexing",Can predicative possession be expressed with an S-like possessor and a possessum that is coded like a comitative argument?,"1: present, 0: absent"
GB039,9,Noun Num 1,9Noun Num 1,"noun, NP",number,declension,Is there nonphonological allomorphy of noun number markers?,"1: present, 0: absent"
GB041,9,Noun Num 2,9Noun Num 2,noun,number,"suppletion, declension",Are there several nouns (more than three) which are suppletive for number?,"1: present, 0: absent"
GB042,9,Noun Num 3,9Noun Num 3,noun,"number, gender",declension,Is there productive overt morphological singular marking on nouns?,"1: present, 0: absent"
GB043,9,Noun Num 4,9Noun Num 4,noun,number,declension,Is there productive morphological dual marking on nouns?,"1: present, 0: absent"
GB044,9,Noun Num 5,9Noun Num 5,noun,"number, gender",declension,Is there productive morphological plural marking on nouns?,"1: present, 0: absent"
GB046,9,Noun Num 6,9Noun Num 6,noun,number,declension,Is there an associative plural marker for nouns?,"1: present, 0: absent"
GB165,9,Noun Num 7,9Noun Num 7,noun,number,declension,Is there productive morphological trial marking on nouns?,"1: present, 0: absent"
GB166,9,Noun Num 8,9Noun Num 8,noun,number,declension,Is there productive morphological paucal marking on nouns?,"1: present, 0: absent"
GB070,10,Nom Core Morph 1,10Nom Core Morph 1,"noun, NP, case marker","argument marking, core arguments","declension, flagging",Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?,"1: present, 0: absent"
GB072,10,Nom Core Morph 2,10Nom Core Morph 2,"noun, NP, case marker","argument marking, oblique","declension, flagging",Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?,"1: present, 0: absent"
GB408,10,Nom Core Morph 3,10Nom Core Morph 3,"noun, NP, case marker, adposition","argument marking, core arguments","flagging, declension",Is there any accusative alignment of flagging?,"1: present, 0: absent"
GB409,10,Nom Core Morph 4,10Nom Core Morph 4,"noun, NP, case marker, adposition","argument marking, core arguments","flagging, declension",Is there any ergative alignment of flagging?,"1: present, 0: absent"
GB410,10,Nom Core Morph 5,10Nom Core Morph 5,"noun, NP, case marker, adposition","argument marking, core arguments","flagging, declension",Is there any neutral alignment of flagging?,"1: present, 0: absent"
GB105,10,Nom Core Morph 6,10Nom Core Morph 6,"noun, NP, verb, index, case marker","argument marking, core, oblique, verb classification, derivation","special construction, flagging, indexing, conjugation",Can the recipient in a ditransitive construction be marked like the monotransitive patient?,"1: present, 0: absent"
GB159,11,Nom Morph 1,11Nom Morph 1,noun,derivation,reduplication,Are nouns reduplicated?,"1: present, 0: absent"
GB027,11,Nom Morph 2,11Nom Morph 2,"adposition, case marker, NP","argument marking, oblique, conjunction, coordination, case marking, comitative","declension, flagging",Are nominal conjunction and comitative expressed by different elements?,"1: present, 0: absent"
GB187,11,Nom Morph 3,11Nom Morph 3,noun,"nominalization, diminutive, derivation",derivational morphology,Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?,"1: present, 0: absent"
GB188,11,Nom Morph 4,11Nom Morph 4,noun,"nominalization, augmentative, derivation",derivational morphology,Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?,"1: present, 0: absent"
GB316,12,NP1,12NP1,NP,number,particle,Is singular number regularly marked in the noun phrase by a dedicated phonologically free element?,"1: present, 0: absent"
GB317,12,NP2,12NP2,NP,number,particle,Is dual number regularly marked in the noun phrase by a dedicated phonologically free element?,"1: present, 0: absent"
GB318,12,NP3,12NP3,NP,number,particle,Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?,"1: present, 0: absent"
GB319,12,NP4,12NP4,NP,number,particle,Is trial number regularly marked in the noun phrase by a dedicated phonologically free element?,"1: present, 0: absent"
GB320,12,NP5,12NP5,NP,number,particle,Is paucal number regularly marked in the noun phrase by a dedicated phonologically free element?,"1: present, 0: absent"
GB301,12,NP6,12NP6,"NP, noun, pronoun","clusivity, deixis, person, number, coordination","declension, special construction",Is there an inclusory construction?,"1: present, 0: absent"
GB065,12,NP7,12NP7,"noun, NP, index","attributive possession, attribution",word order,What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?,multistate 1:Possessor-Possessed; 2:Possessed-Possessor; 3: both
GB074,12,NP8,12NP8,"noun, NP, case marker, adposition","argument marking, core arguments, oblique","word order, flagging",Are there prepositions?,"1: present, 0: absent"
GB075,12,NP9,12NP9,"noun, NP, case marker, adposition","argument marking, core arguments, oblique","word order, flagging",Are there postpositions?,"1: present, 0: absent"
GB024,12,NP10,12NP10,"numeral, NP","quantification, attribution",word order,What is the order of numeral and noun in the NP?,multistate 1: Num-N; 2: N-Num; 3: both.
GB129,13,verb 1,13verb 1,verb,verb classification,inventory,"Is there a notably small number, i.e. about 100 or less, of verb roots in the language?","1: present, 0: absent"
GB401,13,verb 2,13verb 2,verb,"valency change, verb classification",none,Is there a class of patient-labile verbs?,"1: present, 0: absent"
GB402,13,verb 3,13verb 3,verb,"verb classification, TAM, tense, aspect, mood, modality, negation, argument marking, core arguments, oblique","suppletion, conjugation",Does the verb for 'see' have suppletive verb forms?,"1: present, 0: absent"
GB403,13,verb 4,13verb 4,verb,"verb classification, TAM, tense, aspect, mood, modality, negation, argument marking, core arguments, oblique","suppletion, conjugation",Does the verb for 'come' have suppletive verb forms?,"1: present, 0: absent"
GB300,13,verb 5,13verb 5,"verb, index","verb classification, TAM, tense, aspect, mood, modality, negation, argument marking, core arguments, oblique","suppletion, conjugation",Does the verb for 'give' have suppletive verb forms?,"1: present, 0: absent"
GB081,13,verb 6,13verb 6,"verb, index","argument marking, core arguments, oblique, TAM, negation, tense, aspect, mood, modality, valency change","conjugation, infixation",Is there productive infixation in verbs?,"1: present, 0: absent"
GB111,13,verb 7,13verb 7,"verb, index","TAM, tense, aspect, mood, modality, negation, verb classification, argument marking, core, oblique",conjugation,Are there conjugation classes?,"1: present, 0: absent"
GB122,13,verb 8,13verb 8,verb,"predication, derivation",compounding,Is verb compounding a regular process?,"1: present, 0: absent"
GB158,13,verb 9,13verb 9,verb,derivation,reduplication,Are verbs reduplicated?,"1: present, 0: absent"
GB089,14,verb arguments 1,14verb arguments 1,"verb, index","argument marking, core arguments, person, number, gender","conjugation, indexing, suffixation",Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?,"1: present, 0: absent"
GB090,14,verb arguments 2,14verb arguments 2,"verb, index","argument marking, core arguments, person, number, gender","conjugation, indexing, prefixation",Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?,"1: present, 0: absent"
GB091,14,verb arguments 3,14verb arguments 3,"verb, index","argument marking, core arguments, person, number, gender","conjugation, indexing, suffixation",Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?,"1: present, 0: absent"
GB092,14,verb arguments 4,14verb arguments 4,"verb, index","argument marking, core arguments, person, number, gender","conjugation, indexing, prefixation",Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?,"1: present, 0: absent"
GB093,14,verb arguments 5,14verb arguments 5,"verb, index","argument marking, core arguments, person, number, gender","conjugation, indexing, suffixation",Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?,"1: present, 0: absent"
GB094,14,verb arguments 6,14verb arguments 6,"verb, index","argument marking, core arguments, person, number, gender","conjugation, indexing, prefixation",Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?,"1: present, 0: absent"
GB079,14,verb arguments 7,14verb arguments 7,"verb, index","argument marking, core arguments, oblique, TAM, negation, tense, aspect, mood, modality, valency change","conjugation, prefixation","Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or P (do include portmanteau: A & S + TAM)?","1: present, 0: absent"
GB080,14,verb arguments 8,14verb arguments 8,"verb, index","argument marking, core arguments, oblique, TAM, negation, tense, aspect, mood, modality, valency change","conjugation, suffixation","Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or P (do include portmanteau: A & S + TAM)?","1: present, 0: absent"
GB113,14,verb arguments 9,14verb arguments 9,"verb, index","valency change, derivation, valency increase, causative, applicative","derivational morphology, affixation",Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?,"1: present, 0: absent"
GB095,14,verb arguments 10,14verb arguments 10,"verb, index","argument marking, core arguments, TAM, tense, aspect, mood, modality, person, number, gender","flagging, indexing",Are variations in marking strategies of core participants based on TAM distinctions?,"1: present, 0: absent"
GB096,14,verb arguments 11,14verb arguments 11,"verb, index","argument marking, core arguments, verb classification, person, number, gender","flagging, indexing",Are variations in marking strategies of core participants based on verb classes?,"1: present, 0: absent"
GB098,14,verb arguments 12,14verb arguments 12,"verb, index, pronoun","argument marking, core arguments, person, person, number, gender","flagging, indexing",Are variations in marking strategies of core participants based on person distinctions?,"1: present, 0: absent"
GB099,14,verb arguments 13,14verb arguments 13,verb,"person, argument marking, core arguments","suppletion, ablaut, conjugation",Can verb stems alter according to the person of a core participant?,"1: present, 0: absent"
GB109,14,verb arguments 14,14verb arguments 14,verb,"number, argument marking, core arguments","suppletion, conjugation",Is there verb suppletion for participant number?,"1: present, 0: absent"
GB110,14,verb arguments 15,14verb arguments 15,verb,"TAM, tense, aspect","suppletion, conjugation",Is there verb suppletion for tense or aspect?,"1: present, 0: absent"
GB103,15,verb valency 1,15verb valency 1,"verb, index","argument marking, oblique, valency change, applicative, benefactive, derivation, valency increase","derivational morphology, conjugation",Is there a benefactive applicative marker on the verb (including indexing)?,"1: present, 0: absent"
GB104,15,verb valency 2,15verb valency 2,"verb, index","argument marking, oblique, valency change, applicative, instrumental, derivation, valency increase","derivational morphology, conjugation",Is there an instrumental applicative marker on the verb (including indexing)?,"1: present, 0: absent"
GB114,15,verb valency 3,15verb valency 3,"verb, index","reflexive, valency change, derivation, valency decrease","derivational morphology, indexing",Is there a phonologically bound reflexive marker on the verb?,"1: present, 0: absent"
GB115,15,verb valency 4,15verb valency 4,"verb, index","reflexive, reciprocal, valency change, derivation, valency decrease","derivational morphology, indexing",Is there a phonologically bound reciprocal marker on the verb?,"1: present, 0: absent"
GB147,15,verb valency 5,15verb valency 5,verb,"valency change, passive, derivation, valency decrease",derivational morphology,Is there a morphological passive marked on the lexical verb?,"1: present, 0: absent"
GB148,15,verb valency 6,15verb valency 6,verb,"valency change, antipassive, derivation, valency decrease",derivational morphology,Is there a morphological antipassive marked on the lexical verb?,"1: present, 0: absent"
GB155,15,verb valency 7,15verb valency 7,verb,"causative, valency change, derivation, valency increase","affixation, derivational morphology",Are causatives formed by affixes or clitics on verbs?,"1: present, 0: absent"
GB108,16,verb obliques and adjuncts 1,16verb obliques and adjuncts 1,verb,"argument marking, oblique, applicative, valency change, derivation, valency increase","derivational morphology, conjugation",Is there directional or locative morphological marking on verbs?,"1: present, 0: absent"
GB149,16,verb weirdos 1,16verb weirdos 1,"verb, index","argument marking, core",NA,Is there a morphologically marked inverse on verbs?,"1: present, 0: absent"
GB151,16,verb weirdos 2,16verb weirdos 2,"verb, clause, index","deixis, argument marking, core","conjugation, indexing","Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (""switch reference"")?","1: present, 0: absent"
GB152,16,verb weirdos 3,16verb weirdos 3,"verb, clause","TAM, sequentiality, simultaneity",conjugation,Is there a morphologically marked distinction between simultaneous and sequential clauses?,"1: present, 0: absent"
GB177,16,verb weirdos 4,16verb weirdos 4,"verb, index","nominal classification, predication","agreement, conjugation","Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument visible in the NP domain?","1: present, 0: absent"
GB082,17,verb tense 1,17verb tense 1,verb,"TAM, tense",conjugation,Is there overt morphological marking of present tense on verbs?,"1: present, 0: absent"
GB083,17,verb tense 2,17verb tense 2,verb,"TAM, tense",conjugation,Is there overt morphological marking on the verb dedicated to past tense?,"1: present, 0: absent"
GB309,17,verb tense 3,17verb tense 3,"verb, auxiliary, particle","TAM, tense","conjugation, special construction","Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?","1: present, 0: absent"
GB084,17,verb tense 4,17verb tense 4,verb,"TAM, tense",conjugation,Is there overt morphological marking on the verb dedicated to future tense?,"1: present, 0: absent"
GB086,18,verb aspect 1,18verb aspect 1,verb,"TAM, aspect",conjugation,Is a morphological distinction between perfective and imperfective aspect available on verbs?,"1: present, 0: absent"
GB312,18,verb aspect 2,18verb aspect 2,verb,"TAM, mood, modality",conjugation,Is there overt morphological marking on the verb dedicated to mood?,"1: present, 0: absent"
GB123,19,aux and light verbs 1,19aux and light verbs 1,"verb, noun","predication, derivation",special construction,Are there verb-adjunct (aka light-verb) constructions?,"1: present, 0: absent"
GB119,19,aux and light verbs 2,19aux and light verbs 2,auxiliary,"TAM, mood, modality",auxiliary,"Can mood be marked by an inflecting word (""auxiliary verb"")?","1: present, 0: absent"
GB120,19,aux and light verbs 3,19aux and light verbs 3,auxiliary,"TAM, aspect",auxiliary,"Can aspect be marked by an inflecting word (""auxiliary verb"")?","1: present, 0: absent"
GB121,19,aux and light verbs 4,19aux and light verbs 4,auxiliary,"TAM, tense",auxiliary,"Can tense be marked by an inflecting word (""auxiliary verb"")?","1: present, 0: absent"
GB117,20,COPS 1,20COPS 1,"verb, copula, clause, noun, auxiliary","predication, verb classification","particle, auxiliary, absence vs. presence",Is there a copula for predicate nominals?,"1: present, 0: absent"
GB126,20,COPS 2,20COPS 2,"verb, copula, auxiliary","verb classification, predication","particle, auxiliary, absence vs. presence",Is there an existential verb?,"1: present, 0: absent"
GB130,21,Intrn1,21Intrn1,clause,predication,word order,What is the pragmatically unmarked order of S and V in intransitive clauses?,multistate 1: SV; 2: VS; 3: both
GB124,21,Intrn2,21Intrn2,"verb, noun","valency change, valency decrease, derivation","incorporation, compounding",Is incorporation of nouns into verbs a productive intransitivizing process?,"1: present, 0: absent"
GB118,22,Verb Clause 1,22Verb Clause 1,verb,predication,special construction,Are there serial verb constructions?,"1: present, 0: absent"
GB131,22,Verb Clause 2,22Verb Clause 2,clause,predication,word order,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?,"1: present, 0: absent"
GB132,22,Verb Clause 3,22Verb Clause 3,clause,predication,word order,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?,"1: present, 0: absent"
GB133,22,Verb Clause 4,22Verb Clause 4,clause,predication,word order,Is a pragmatically unmarked constituent order verb-final for transitive clauses?,"1: present, 0: absent"
GB047,23,Verbal Derivation 1,23Verbal Derivation 1,"noun, verb","derivation, nominalization, gender",derivational morphology,Is there a productive morphological pattern for deriving an action/state noun from a verb?,"1: present, 0: absent"
GB048,23,Verbal Derivation 2,23Verbal Derivation 2,"noun, verb","derivation, nominalization, gender",derivational morphology,Is there a productive morphological pattern for deriving an agent noun from a verb?,"1: present, 0: absent"
GB049,23,Verbal Derivation 3,23Verbal Derivation 3,"noun, verb","derivation, nominalization, gender",derivational morphology,Is there a productive morphological pattern for deriving an object noun from a verb?,"1: present, 0: absent"
GB146,24,Verb Randos 1,24Verb Randos 1,"clause, verb, adjective, noun, case marker, NP","control, argument marking, core, oblique, verb classification","special construction, flagging, indexing, conjugation, declension",Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?,"1: present, 0: absent"
GB127,24,Verb Randos 2,24Verb Randos 2,verb,"verb classification, nominal classification, predication","suppletion, conjugation",Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. 'to lie' vs. 'to stand')?,"1: present, 0: absent"
GB140,24,Verb Randos 3,24Verb Randos 3,"particle, clause, verb, copula","predication, negation, verb classification","particle, conjugation","Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?","1: present, 0: absent"
GB116,24,Verb Randos 4,24Verb Randos 4,"verb, index",nominal classification,"incorporation, compounding, suppletion, affixation, conjugation","Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?","1: present, 0: absent"
GB107,25,NEG1,25NEG1,verb,"TAM, negation",conjugation,"Can standard negation be marked by an affix, clitic or modification of the verb?","1: present, 0: absent"
GB137,25,NEG2,25NEG2,"particle, clause, verb","TAM, negation","conjugation, word order, particle",Can standard negation be marked clause-finally?,"1: present, 0: absent"
GB138,25,NEG3,25NEG3,"particle, clause, verb","TAM, negation","conjugation, word order, particle",Can standard negation be marked clause-initially?,"1: present, 0: absent"
GB298,25,NEG4,25NEG4,"auxiliary, negator","TAM, negation",auxiliary,"Can standard negation be marked by an inflecting word (""auxiliary verb"")?","1: present, 0: absent"
GB299,25,NEG5,25NEG5,"particle, negator","TAM, negation",particle,"Can standard negation be marked by a non-inflecting word (""auxiliary particle"")?","1: present, 0: absent"
GB139,25,NEG6,25NEG6,"particle, clause, verb","TAM, mood, imperative, prohibition, negation","conjugation, word order, particle",Is there a difference between imperative (prohibitive) and declarative negation constructions?,"1: present, 0: absent"
GB150,26,Clause1,26Clause1,"verb, clause",predication,special construction,Is there clause chaining?,"1: present, 0: absent"
GB135,26,Clause2,26Clause2,clause,"predication, subordination",word order,Do clausal objects usually occur in the same position as nominal objects?,"1: present, 0: absent"
GB136,26,Clause3,26Clause3,clause,predication,word order,Is the order of core argument (i.e. S/A/P) constituents fixed?,"1: present, 0: absent"
GB156,27,Verb Clause 1,27Verb Clause 1,"verb, auxiliary, particle","causative, valency change, derivation, valency increase","special construction, derivational morphology",Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?,"1: present, 0: absent"
GB400,27,Verb Clause 2,27Verb Clause 2,"verb, pronoun, particle, auxiliary, index","person, valency change, TAM, passive, antipassive, tense, aspect, mood, modality, negation, argument marking, core arguments","conjugation, paradigm, indexing","Are all person categories neutralized in some voice, tense, aspect, mood and/or negation?","1: present, 0: absent"
